"Type","Comet","Obs date","Extinction","Meth","Comet vis","Mag","Conditions","Ref cat","Inst T","App","Inst F","Inst P","Coma vis","Coma","Coma notes","DC","Tail vis","Tail","Tail unit","PA","User","Association","Country","Location","Comment","Sky quality","Sky quality method","Reference stars"
"CCD","C/2023 A3","2023-05-18 02:26","","C","","16.7","","BG","H","30.5","4","1500","","","","","","","","","MAI01","ALPO Comet Section","United States","Comet Hunter Observatory 2","","","",""
"CCD","C/2023 A3","2023-06-05 21:50","","C","","16.7","","GG","L","41.0","4","60","","0.19'","","8.0","","","","","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2023-05-22 21:21","","C","","16.5","","AR","L","30.0","4","2250","","0.80'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-05-25 22:33","","C","","16.4","","AR","L","30.0","4","3000","","0.80'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-05-26 21:35","","C","","16.4","","AR","L","30.0","4","3000","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-05-27 21:35","","C","","16.5","","AR","L","30.0","4","3000","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-05-28 21:35","","C","","16.4","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-05-31 21:35","","C","","16.4","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-06-10 21:50","","C","","16.3","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-06-03 18:11","","C","","16.8","","U5","L","20.0","3","60","","","","","","","","","PAP04","British Astronomical Association","Italy","Namibia (remote control)","","","",""
"CCD","C/2023 A3","2024-04-30 20:48","","C","","9.8","","AR","L","15.0","5","1200","","3.60'","","","","0.09°","°","96°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C; Humidity 30%; clear","","",""
"CCD","C/2023 A3","2024-03-09 18:00","","C","","12.5","","HV","L","15.0","3","40","","1.30'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-28 22:57","","C","","10.7","","GG","L","30.0","5","120","","1.30'","","","","3.90'","'","92°","PHI02","British Astronomical Association","United Kingdom","ASERO Trevinca Skies, Spain","","","",""
"CCD","C/2023 A3","2024-03-14 17:45","","C","","12.2","","HV","L","15.0","3","40","","1.30'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-29 12:14","","C","","11.1","","AQ","T","35.0","5","60","","1.60'","","","","4.00'","'","95°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-30 20:33","","C","","9.9","","AV","L","15.0","5","1200","","3.60'","","","","0.05°","°","94°","PAR03","Polish Comet Observers","Poland","","DSLR green; temparature +12 C","","",""
"CCD","C/2023 A3","2024-05-03 11:45","","C","","11.2","","AQ","T","35.0","5","60","","1.80'","","","","2.90'","'","96°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-29 21:20","","C","","10.3","","AR","R","7.5","4","1200","","3.70'","","","","0.05°","°","94°","PAR03","Polish Comet Observers","Poland","","","","",""
"CCD","C/2023 A3","2024-04-29 21:35","","C","","10.5","","AV","R","7.5","4","1200","","3.70'","","","","0.05°","°","94°","PAR03","Polish Comet Observers","Poland","","","","",""
"CCD","C/2023 A3","2024-03-15 17:45","","C","","12.2","","HV","L","15.0","3","40","","1.30'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2023-03-30 21:07","","C","","16.9","","GG","L","41.0","4","660","","0.14'","","9.0","","","","","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-04-02 16:00","","C","","11.2","","BG","L","20.3","4","120","","","","7.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-01-21 19:26","","C","","14.2","","AQ","T","35.0","5","180","","0.70'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-02 14:52","","C","","11.4","","AQ","T","35.0","5","180","","1.50'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-03-25 03:50","","C","","11.5","","AR","L","30.0","4","1800","","1.10'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-03-28 22:04","","C","","11.1","","AR","L","30.0","4","1800","","1.80'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-11-28 05:47","","C","","14.5","","GG","Y","20.3","5","900","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"CCD","C/2023 A3","2024-04-04 13:55","","C","","11.4","","AQ","T","35.0","5","120","","1.50'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-03-23 22:44","","C","","11.5","","U4","L","20.0","6","60","","1.30'","","","","","","","PAP04","British Astronomical Association","Italy","Piemonte,Italy (remote control)","","","",""
"CCD","C/2023 A3","2024-02-07 23:00","","C","","13.0","","BG","L","20.3","4","180","","","","5.0","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.26.46mag","","",""
"CCD","C/2023 A3","2024-05-16 14:00","","C","","9.9","","BG","L","20.3","4","120","","","","6.0","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-03-30 19:15","","C","","11.3","","BG","L","20.3","4","120","","0.90'","","6.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-15 21:15","","C","","9.9","","AR","R","6.8","5","60","","2.20'","","","","0.07°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +11 C, Humidity 20%; Baader Neodymium filter used to reduce moonlight","","","UCAC4-459-050367 (B-V=0.677 Cat. APASS)"
"CCD","C/2023 A3","2024-03-28 19:55","","C","","11.5","","BG","L","20.3","4","120","","0.90'","","6.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-03-31 17:40","","C","","11.2","","BG","L","20.3","4","120","","0.80'","","7.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-04-03 17:45","","C","","11.2","","BG","L","20.3","4","120","","1.10'","","6.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-17 21:17","","C","","9.9","","AV","R","6.8","5","1200","","2.80'","","","","0.10°","°","100°","PAR03","Polish Comet Observers","Poland","","DSLR green; Baader Moon&Skyglow Neodymium filter used to reduce moonlight. Moon angle distance: 15.2d, Moon iluminated 72%; temperature: +12 C","","",""
"CCD","C/2023 A3","2024-04-06 13:55","","C","","11.3","","AQ","T","35.0","5","120","","1.50'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-06 23:30","","C","","11.6","","AL","Y","15.3","9","3600","","","","","","","","284°","PURab","International Comet Quarterly","India","Ahmedabad","","","",""
"CCD","C/2023 A3","2024-03-18 04:15","","C","","12.0","","AL","Y","15.3","9","1800","","","","","","","°","277°","PURab","International Comet Quarterly","India","Ahmedabad","","","",""
"CCD","C/2023 A3","2023-12-18 22:15","","C","","14.0","","GG","L","20.3","4","1800","","0.30'","","7.0","","","","","XIO","International Comet Quarterly","China","Daocheng(remote,O46)","","21.9","SQM-L",""
"CCD","C/2023 A3","2023-06-16 21:50","","C","","16.3","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-12 20:38","","C","","10.6","","GG","L","41.0","4","60","","0.96'","","6.0","","8.00'","'","106°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2023-06-15 21:50","","C","","16.3","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-14 00:00","","C","","10.9","","AR","L","30.0","4","1200","","3.70'","","","","8.80'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-02-13 18:00","","C","","13.4","","AQ","T","35.0","5","180","","1.10'","","","","1.00'","'","309°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-03-20 15:21","","C","","12.1","","AQ","T","35.0","5","180","","1.30'","","","","1.10'","'","325°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-06-14 21:50","","C","","16.4","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-04-10 20:52","","C","","10.6","","AR","L","30.0","4","1200","","2.60'","","","","5.00'","'","66°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-04-28 22:47","","C","","16.9","","GG","L","41.0","4","240","","0.19'","","8.5","","","","","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2023-04-25 04:10","","C","","16.8","","BG","H","30.5","4","420","","","","","","","","","MAI01","ALPO Comet Section","United States","Comet Hunter Observatory 2","","","",""
"CCD","C/2023 A3","2024-05-04 13:00","","C","","9.9","","BG","L","20.3","4","60","","1.50'","","4.5","","2.00'","'","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-01-04 23:00","","C","","13.9","","BG","L","20.3","4","120","","0.40'","","8.0","","1.00'","'","330°","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.25.88mag, mlim=17.7","","",""
"CCD","C/2023 A3","2024-04-27 14:10","","C","","10.6",":","BG","L","20.3","","","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-04-28 14:30","","C","","10.1","","BG","L","20.3","4","120","","1.20'","","5.5","","10.00'","'","90°","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-03-22 15:07","","C","","12.1","","AQ","T","35.0","5","180","","1.30'","","","","0.80'","'","317°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-04-22 20:24","","C","","16.6","","AQ","Y","40.0","8","300","","0.40'","","","","","","","KII","URSA Astronomical Association","Finland","","","","",""
"CCD","C/2023 A3","2024-04-30 21:02","","C","","9.9","","AV","L","15.0","5","1200","","3.60'","","","","0.09°","°","96°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C; Humidity 30%, clear","","",""
"CCD","C/2023 A3","2024-03-08 18:00","","C","","12.7","","HV","L","15.0","3","20","","1.20'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-01-21 05:16","","C","","13.2","","U4","Y","30.0","5","60","","1.00'","","","","30.00""","""","","PAP04","British Astronomical Association","Italy","Piemonte,Italy (remote control)","","","",""
"CCD","C/2023 A3","2024-04-09 18:14","","C","","11.1","","HV","L","15.0","3","40","","1.40'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-10 17:16","","C","","10.8","","HV","L","15.0","3","40","","1.30'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-13 17:02","","C","","11.1","","HV","L","15.0","3","40","","1.40'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-14 17:02","","C","","10.8","","HV","L","15.0","3","40","","1.70'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-04 20:38","","C","","11.1","","GG","L","41.0","4","60","","0.72'","","6.0","","5.50'","'","94°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-05-03 21:07","","C","","10.9","","AR","L","30.0","4","1200","","3.70'","","","","4.60'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-01-07 22:55","","C","","13.7","","BG","L","20.3","4","180","","0.50'","","7.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.27.60mag, mlim=18.7 (SNR=5)","","",""
"CCD","C/2023 A3","2024-03-21 15:07","","C","","12.1","","AQ","T","35.0","5","180","","1.30'","","","","1.10'","'","321°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-01-09 06:28","","C","","13.7","","AR","L","30.0","4","810","","0.70'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-04-13 13:12","","C","","10.9","","AQ","T","35.0","5","120","","1.60'","","","","2.10'","'","75°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-13 13:00","","C","","10.4","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-12 00:00","","C","","10.9","","AR","L","30.0","4","1200","","3.70'","","","","10.10'","'","96°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-11 00:00","","C","","11.0","","AR","L","30.0","4","1200","","3.70'","","","","7.30'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-03-18 20:15","","C","","11.6","","BG","L","20.3","4","120","","0.80'","","6.0","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2023-08-21 20:38","","C","","15.5","","AR","L","30.0","4","2880","","0.60'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-12-21 21:07","","C","","14.0","","AV","Y","20.3","5","1380","","0.50'","","","","0.70'","'","335°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-14 12:57","","C","","10.9","","AQ","T","35.0","5","60","","1.60'","","","","1.70'","'","80°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-09 16:33","","C","","11.2","","AQ","T","35.0","5","60","","1.50'","","","","3.50'","'","100°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-12 18:55","","C","","10.5","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-04 22:00","","C","","10.3","","AV","A","5.0","4","840","","3.60'","","","","0.17°","°","97°","PAR03","Polish Comet Observers","Poland","Dabrowa, Poland","temperature: +10 C","","",""
"CCD","C/2023 A3","2024-05-04 21:48","","C","","10.2","","AR","A","5.0","4","840","","3.60'","","","","0.17°","°","97°","PAR03","Polish Comet Observers","Poland","Dabrowa, Poland","temperature: +10 C","","",""
"CCD","C/2023 A3","2024-04-17 23:38","","C","","10.7","","GG","L","30.0","5","300","","1.50'","","","","4.90°","°","84°","PHI02","British Astronomical Association","United Kingdom","ASERO Trevinca Skies, Spain","","","",""
"CCD","C/2023 A3","2024-04-18 02:55","","C","","10.5","","GG","Y","20.3","5","1620","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"CCD","C/2023 A3","2024-04-18 18:25","","C","","10.5","","U4","R","10.6","5","60","","1.00'","","","","2.00'","'","","PAP04","British Astronomical Association","Italy","Namibia (remote control)","","","",""
"CCD","C/2023 A3","2024-04-19 14:52","","C","","11.0","","AQ","T","35.0","5","60","","1.60'","","","","2.40'","'","85°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-04-17 14:09","","C","","17.0","","AV","L","51.0","7","480","","","","9.0","","","","","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-20 12:28","","C","","11.1","","AQ","T","35.0","5","60","","1.50'","","","","1.90'","'","90°","PEA","International Comet Quarterly","Australia","","","","",""
"VIS","C/2023 A3","2024-04-09 20:38","","C","","10.5","","GG","L","41.0","4","360","","0.82'","","7.5","","0.80'","'","65°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-05-07 11:31","","C","","11.2","","AQ","T","35.0","5","60","","1.70'","","","","6.60'","'","97°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-06 22:35","","C","","10.7","","GG","L","30.0","5","600","","1.40'","","","","9.00'","'","97°","PHI02","British Astronomical Association","United Kingdom","ASERO Trevinca Skies, Spain","","","",""
"CCD","C/2023 A3","2024-06-05 20:54","","d","","10.1","","GG","R","7.2","6","600","","","","","","","","","FALaa","U.A.I. Sezione Comete","Italy","Ginestra Fiorentina, Italy","","18.5","SQM",""
"CCD","C/2023 A3","2024-05-26 20:47","","d","","10.3","","GG","R","7.2","6","1500","","","","","","","","","FALaa","U.A.I. Sezione Comete","Italy","Ginestra Fiorentina, Italy","","20.7","SQM",""
"CCD","C/2023 A3","2024-05-25 12:00","","D","","11.7","","LA","Y","20.3","5","300","","1.50'","","","","8.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-06-10 12:00","a","D","","11.3","","LA","Y","20.3","5","540","","1.90'","","","","10.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-13 21:53","","D","","10.6","","AB","L","15.0","4","300","","2.90'","","","","0.08°","°","102°","PAR03","Polish Comet Observers","Poland","","Temparature: +9 C; Humidity 23%","","",""
"CCD","C/2023 A3","2024-06-03 12:00","a","D","","11.6","","LA","Y","20.3","5","420","","1.80'","","","","9.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-29 12:57","","D","","11.5","","LA","Y","20.3","5","600","","1.70'","","","","9.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-09 12:28","","D","","11.5","","LA","Y","20.3","5","480","","1.50'","","","","5.00'","'","98°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-14 12:00","","D","","11.4","","LA","Y","20.3","5","240","","1.40'","","","","4.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-10 12:00","","D","","11.5","","LA","Y","20.3","5","300","","1.50'","","","","5.00'","'","98°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-06-24 05:02","","D","","10.7","","AV","L","43.1","4","180","","2.10'","","","","10.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-06-18 11:45","a","D","","11.0","","LA","Y","20.3","5","300","","1.50'","","","","12.00'","'","100°","YOS02","International Comet Quarterly","Japan","","Landolt Catalog 2009. V-I +0.56 and +0.67.","","","Landolt Catalog 105 815"
"VIS","C/2023 A3","2024-05-11 20:30","","E","","10.1","","S","L","61.0","3","200","","0.50'","","7.0","","4.50'","'","","DEC","","France","OAB - Observatoire Astronomique de Bauduen","","","",""
"CCD","C/2023 A3","2024-05-01 21:38","","H","","10.1","","AI","L","15.0","4","300","","2.40'","","","","0.06°","°","95°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C, Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-01 22:22","","H","","10.0","","AI","L","15.0","4","300","","2.40'","","","","0.06°","°","95°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C, Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-01 22:27","","H","","9.6","","AQ","L","15.0","4","300","","2.40'","","","","0.06°","°","95°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C, Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-01 21:43","","H","","9.7","","AQ","L","15.0","4","300","","2.40'","","","","0.06°","°","95°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C, Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-12 22:01","","H","","10.0","","AI","L","15.0","4","300","","2.90'","","","","0.09°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +5 C","","",""
"CCD","C/2023 A3","2024-05-10 12:00","","H","","9.9","","LA","Y","20.3","5","300","","1.50'","","","","5.00'","'","98°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-12 22:06","","H","","9.6","","AQ","L","15.0","4","300","","2.90'","","","","0.09°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +5 C","","",""
"CCD","C/2023 A3","2024-06-18 11:45","a","H","","9.6","","LA","Y","20.3","5","360","","1.90'","","","","10.00'","'","100°","YOS02","International Comet Quarterly","Japan","","Landolt Catalog 2009. V-I +0.56 and +0.67.","","","Landolt Catalog 105 815"
"CCD","C/2023 A3","2024-06-24 05:02","","H","","9.2","","TA","L","43.1","4","180","","2.10'","","","","14.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-09 12:28","","H","","9.8","","LA","Y","20.3","5","480","","1.50'","","","","5.00'","'","98°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-14 12:14","","H","","9.9","","LA","Y","20.3","5","240","","1.40'","","","","5.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-06-03 11:45","a","H","","9.8","","LA","Y","20.3","5","420","","1.80'","","","","9.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-13 21:30","","H","","9.6","","AQ","L","15.0","4","150","","2.90'","","","","0.09°","°","100°","PAR03","Polish Comet Observers","Poland","","Temparature: +9 C; Humidity 23%","","",""
"CCD","C/2023 A3","2024-05-13 21:26","","H","","10.0","","AI","L","15.0","4","150","","2.90'","","","","0.09°","°","100°","PAR03","Polish Comet Observers","Poland","","Temparature: +9 C; Humidity 23%","","",""
"CCD","C/2023 A3","2024-05-25 12:00","","H","","9.9","","LA","Y","20.3","5","300","","1.50'","","","","8.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-29 13:12","","H","","9.9","","LA","Y","20.3","5","660","","1.70'","","","","9.00'","'","102°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-06-10 12:00","a","H","","9.6","","LA","Y","20.3","5","600","","1.90'","","","","11.00'","'","100°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-13 21:20","","k","","9.6","","AQ","L","15.0","4","150","","2.90'","","","","0.14°","°","100°","PAR03","Polish Comet Observers","Poland","","Temparature: +9 C; Humidity 23%","","",""
"CCD","C/2023 A3","2024-05-13 21:15","","k","","9.8","","AR","L","15.0","4","150","","2.90'","","","","0.14°","°","100°","PAR03","Polish Comet Observers","Poland","","Temparature: +9 C; Humidity 23%","","",""
"CCD","C/2023 A3","2024-04-15 03:07","","k","","10.3","","AR","T","25.0","6","1260","","1.80'","","","","2.20'","'","80°","MAS01","Society for Interplanetary Matter","Czech Republic","","","","",""
"CCD","C/2023 A3","2024-05-01 21:13","","k","","10.1","","AR","L","15.0","4","300","","2.90'","","","","0.10°","°","92°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C; Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-13 22:04","","k","","10.9","","AR","L","40.0","3","450","","2.60'","","","","","","","BRY04","Astronomical Association of Belgium - Comet section","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-01 21:20","","k","","9.9","","AQ","L","15.0","4","300","","2.90'","","","","0.10°","°","92°","PAR03","Polish Comet Observers","Poland","","Temperature: +12 C; Humidity 26%","","",""
"CCD","C/2023 A3","2024-05-07 21:07","","k","","10.9","","AR","L","40.0","3","480","","1.90'","","","","","","","BRY04","Astronomical Association of Belgium - Comet section","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-12 21:49","","k","","10.2","","AQ","L","15.0","4","300","","2.90'","","","","0.12°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +6 C","","",""
"CCD","C/2023 A3","2024-06-26 22:04","","k","","10.2","","AR","T","25.0","6","1380","","1.90'","","","","11.20'","'","100°","MAS01","Society for Interplanetary Matter","Czech Republic","","","","",""
"CCD","C/2023 A3","2024-05-31 22:33","","k","","10.7","","AR","T","25.0","6","1380","","1.30'","","","","8.80'","'","101°","MAS01","Society for Interplanetary Matter","Czech Republic","","","","",""
"CCD","C/2023 A3","2024-05-12 22:20","","k","","10.2","","AR","L","15.0","4","300","","2.90'","","","","0.14°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +5  C","","",""
"CCD","C/2023 A3","2024-05-03 21:35","","k","","10.8","","AR","L","40.0","3","600","","2.30'","","","","","","","BRY04","Astronomical Association of Belgium - Comet section","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-12 22:25","","k","","10.0","","AQ","L","15.0","4","300","","2.90'","","","","0.14°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +5 C","","",""
"CCD","C/2023 A3","2024-04-28 21:50","","k","","11.8","","AR","L","40.0","3","600","","1.40'","","","","","","","BRY04","Astronomical Association of Belgium - Comet section","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-12 21:44","","k","","10.4","","AR","L","15.0","4","300","","2.90'","","","","0.12°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +6 C","","",""
"CCD","C/2023 A3","2024-06-11 21:36","","k","","10.7","","AR","L","40.0","3","840","","2.60'","","","","10.40'","'","99°","BRY04","Astronomical Association of Belgium - Comet section","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-02 23:02","","k","","10.2","","AR","T","25.0","6","1500","","2.10'","","","","4.70'","'","95°","MAS01","Society for Interplanetary Matter","Czech Republic","","","","",""
"CCD","C/2023 A3","2024-06-10 21:36","","k","","10.8","","AR","L","30.0","4","1320","","2.00'","","","","","","","VALaa","U.A.I. Sezione Comete","Italy","","","","",""
"VIS","C/2023 A3","2024-05-08 20:52","","M","","10.4","","TJ","L","41.0","4","57","","0.80'","","4.5","","1.60'","'","114°","SHU","British Astronomical Association","Belarus","","","","",""
"VIS","C/2023 A3","2024-05-05 11:31","x","M","","10.5","","AQ","L","25.0","5","40","","1.40'","","6.0","","6.00'","'","103°","WYA","British Astronomical Association","Australia","","","","",""
"VIS","C/2023 A3","2024-04-09 22:04","","M","","10.8","","AQ","B","10.0","","25","","1.50'","","6.0","","","","","GUZ","Polish Comet Observers","Poland","","","","",""
"VIS","C/2023 A3","2024-05-05 11:55","","M","","9.9","","AA","L","11.4","","36","","2.00'","","6.0","","","","","PIL04","","Philippines","San Rafael, Bulacan, Philippines","","","",""
"VIS","C/2023 A3","2024-05-08 21:50","","M","","10.3","","TI","T","20.0","10","80","","1.50'","","5.0","","2.00'","'","","LAB02","","Spain","","","","",""
"VIS","C/2023 A3","2024-04-13 13:40","","M","","10.7","","AA","L","11.4","","36","","1.50'","","7.0","","","","","PIL04","","Philippines","San Rafael, Bulacan, Philippines","","","",""
